match_id,season,match_datetime_utc,match_outcome_code,outcome_id,forecast_home_win,forecast_draw,forecast_away_win,market_home_edge,market_expected_points_home,market_expected_points_away,market_entropy,market_logit_home,market_max_prob,match_day_index,match_day_of_year_norm,match_weekday_index,match_weekday_Friday,match_weekday_Monday,match_weekday_Saturday,match_weekday_Sunday,match_weekday_Thursday,match_weekday_Tuesday,match_weekday_Wednesday
18241,2022,2022-08-28 15:30:00,A,0,0.0753,0.1383,0.7864,-0.7111,0.3642,2.4975,0.65731339099286,-2.3459854340271087,0.7864,23.0,0.6557377049180327,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18242,2022,2022-08-30 18:30:00,H,2,0.1682,0.2629,0.5689,-0.4006999999999999,0.7675,1.9696,0.9719515168104208,-1.218550924217754,0.5689,25.0,0.6612021857923497,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18243,2022,2022-08-30 18:30:00,D,1,0.1616,0.2398,0.5986,-0.437,0.7246,2.0356,0.9441381935830048,-1.3094694493316037,0.5986,25.0,0.6612021857923497,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18244,2022,2022-08-30 18:45:00,H,2,0.3329,0.2916,0.3755,-0.0426,1.2903,1.4181,1.0933218902747348,-0.1204163266232102,0.3755,25.0,0.6612021857923497,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18245,2022,2022-08-30 19:00:00,D,1,0.3025,0.3131,0.3844,-0.0819,1.2206,1.4663,1.0927872521405737,-0.2396023996252414,0.3844,25.0,0.6612021857923497,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18246,2022,2022-08-31 18:30:00,H,2,0.9435,0.0444,0.0121,0.9314,2.8749,0.0807,0.2465734903656705,4.356390912205909,0.9435,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18247,2022,2022-08-31 18:30:00,H,2,0.9316,0.0579,0.0105,0.9211,2.8527000000000005,0.0894,0.27880676620451,4.485528280846708,0.9316,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18248,2022,2022-08-31 18:30:00,D,1,0.0649,0.2238,0.7113,-0.6464000000000001,0.4185,2.3577000000000004,0.7548368298846133,-2.394246658029425,0.7113,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18249,2022,2022-08-31 18:45:00,D,1,0.5865,0.2581,0.1554,0.4311,2.0176,0.7243,0.9518353420447974,1.328170230159983,0.5865,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18250,2022,2022-08-31 19:00:00,H,2,0.6785,0.2216,0.0999,0.5786,2.2571,0.5213,0.8272234397973306,1.915714793620416,0.6785,26.0,0.6639344262295082,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18251,2022,2022-09-01 19:00:00,A,0,0.1672,0.3399,0.4929,-0.3257,0.8414999999999999,1.8186,1.0145369816720071,-1.081115613060731,0.4929,27.0,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18252,2022,2022-09-03 11:30:00,D,1,0.373,0.2708,0.3562,0.0167999999999999,1.3898,1.3394,1.0893022954431202,0.0460860487882542,0.373,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18254,2022,2022-09-03 14:00:00,A,0,0.488,0.3058,0.2062,0.2818,1.7698,0.9244,1.0380008083146564,0.8614688342702876,0.488,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18255,2022,2022-09-03 14:00:00,H,2,0.9103,0.072,0.0177,0.8926,2.8029,0.1251,0.3463945559125343,3.94020957593146,0.9103,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18253,2022,2022-09-03 14:00:00,D,1,0.8161,0.1241,0.0598,0.7563000000000001,2.5724,0.3035,0.5932435966401941,2.6135312355186113,0.8161,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18257,2022,2022-09-03 14:00:00,H,2,0.6119,0.2192,0.1689,0.443,2.0549,0.7259,0.9336322501281318,1.2872620466547404,0.6119,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18260,2022,2022-09-03 14:00:00,H,2,0.1001,0.2892,0.6107,-0.5106,0.5895,2.1213,0.8903472393631736,-1.808436153907914,0.6107,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18256,2022,2022-09-03 14:00:00,H,2,0.3189,0.3149,0.3662,-0.0473,1.2716,1.4135,1.096206299461105,-0.1383020582243984,0.3662,29.0,0.6721311475409836,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
