match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
18653,2022-10-01 18:45:00,Empoli,AC Milan,1,3,58.39,0.4103,0.3276,-0.1482,1.194,1499.04,1502.02
18657,2022-10-02 10:30:00,Lazio,Spezia,4,0,62.83,0.4186,0.323,-0.1601,1.75,1502.67,1498.36
18658,2022-10-02 13:00:00,Lecce,Cremonese,1,1,61.76,0.4166,0.3241,-0.1572,1.119,1499.29,1497.71
18660,2022-10-02 13:00:00,Sampdoria,Monza,0,3,59.82,0.4129,0.3261,-0.152,1.51,1496.7,1498.62
18661,2022-10-02 13:00:00,Sassuolo,Salernitana,5,0,59.54,0.4124,0.3264,-0.1513,1.753,1500.31,1499.29
18652,2022-10-02 16:00:00,Atalanta,Fiorentina,1,0,62.26,0.4175,0.3236,-0.1586,0.754,1502.67,1499.77
18656,2022-10-02 18:45:00,Juventus,Bologna,3,0,61.63,0.4163,0.3243,-0.1569,1.508,1501.34,1498.44
18654,2022-10-03 18:45:00,Verona,Udinese,1,2,56.34,0.4065,0.3297,-0.1427,0.758,1497.9,1502.43
18669,2022-10-08 13:00:00,Sassuolo,Inter,1,2,60.28,0.4138,0.3257,-0.1533,0.767,1499.87,1500.48
18665,2022-10-08 16:00:00,AC Milan,Juventus,2,0,60.68,0.4146,0.3252,-0.1544,1.216,1502.54,1500.83
18662,2022-10-08 18:45:00,Bologna,Sampdoria,1,1,61.74,0.4165,0.3242,-0.1572,1.137,1498.35,1496.79
18670,2022-10-09 10:30:00,Torino,Empoli,1,1,60.26,0.4138,0.3257,-0.1532,1.14,1499.22,1499.13
18666,2022-10-09 13:00:00,Monza,Spezia,2,0,60.25,0.4138,0.3257,-0.1532,1.219,1499.13,1497.85
18668,2022-10-09 13:00:00,Salernitana,Verona,2,1,61.39,0.4159,0.3245,-0.1563,0.769,1499.61,1497.57
18671,2022-10-09 13:00:00,Udinese,Atalanta,2,2,59.76,0.4128,0.3262,-0.1519,1.14,1502.34,1502.76
18663,2022-10-09 16:00:00,Cremonese,Napoli,1,4,54.67,0.4034,0.3314,-0.1383,1.542,1496.83,1503.91
18667,2022-10-09 18:45:00,Roma,Lecce,2,1,61.77,0.4166,0.3241,-0.1573,0.769,1501.38,1498.97
18664,2022-10-10 18:45:00,Fiorentina,Lazio,0,4,57.11,0.4079,0.3289,-0.1448,1.794,1498.75,1503.69
18673,2022-10-15 13:00:00,Empoli,Monza,1,0,60.0,0.4133,0.326,-0.1525,0.782,1499.46,1498.8
18681,2022-10-15 16:00:00,Torino,Juventus,0,1,58.39,0.4103,0.3276,-0.1482,0.783,1498.77,1501.28
18672,2022-10-15 18:45:00,Atalanta,Sassuolo,2,1,62.88,0.4187,0.323,-0.1603,0.781,1503.08,1499.54
18675,2022-10-16 10:30:00,Inter,Salernitana,2,0,60.87,0.4149,0.3251,-0.1548,1.243,1501.0,1499.09
18676,2022-10-16 13:00:00,Lazio,Udinese,0,0,61.35,0.4158,0.3246,-0.1562,1.162,1503.6,1502.43
18680,2022-10-16 13:00:00,Spezia,Cremonese,2,2,61.02,0.4152,0.3249,-0.1553,1.162,1497.76,1496.92
18678,2022-10-16 16:00:00,Napoli,Bologna,3,2,65.56,0.4237,0.3202,-0.1675,0.782,1504.24,1498.02
18674,2022-10-16 18:45:00,Verona,AC Milan,1,2,55.04,0.4041,0.3311,-0.1392,0.786,1497.13,1502.98
18679,2022-10-17 16:30:00,Sampdoria,Roma,0,1,55.4,0.4048,0.3307,-0.1402,0.788,1496.34,1501.83
18677,2022-10-17 18:45:00,Lecce,Fiorentina,1,1,60.22,0.4137,0.3257,-0.1531,1.165,1498.88,1498.84
18686,2022-10-21 18:45:00,Juventus,Empoli,4,0,61.81,0.4167,0.3241,-0.1574,1.845,1502.05,1498.69
18689,2022-10-22 13:00:00,Salernitana,Spezia,1,0,61.33,0.4158,0.3246,-0.1561,0.797,1499.42,1497.42
18687,2022-10-22 16:00:00,AC Milan,Monza,4,1,64.18,0.4211,0.3216,-0.1638,1.592,1503.65,1498.14
18685,2022-10-22 18:45:00,Fiorentina,Inter,3,4,57.84,0.4093,0.3282,-0.1467,0.798,1498.38,1501.46
18691,2022-10-23 10:30:00,Udinese,Torino,1,2,63.66,0.4201,0.3222,-0.1624,0.798,1501.97,1499.23
18683,2022-10-23 13:00:00,Bologna,Lecce,2,0,59.14,0.4117,0.3268,-0.1502,1.268,1498.56,1498.34
18682,2022-10-23 16:00:00,Atalanta,Lazio,0,2,59.48,0.4123,0.3265,-0.1511,1.267,1502.36,1504.33
18688,2022-10-23 18:45:00,Roma,Napoli,0,1,57.59,0.4088,0.3284,-0.1461,0.8,1501.37,1504.7
18684,2022-10-24 16:30:00,Cremonese,Sampdoria,0,1,60.59,0.4144,0.3253,-0.1541,0.801,1496.46,1496.8
18690,2022-10-24 18:45:00,Sassuolo,Verona,2,1,62.42,0.4178,0.3235,-0.159,0.801,1499.88,1496.79
18699,2022-10-29 13:00:00,Napoli,Sassuolo,4,0,64.82,0.4223,0.321,-0.1655,1.883,1505.48,1499.1
18697,2022-10-29 16:00:00,Lecce,Juventus,0,1,56.29,0.4064,0.3298,-0.1426,0.814,1497.87,1502.52
18695,2022-10-29 18:45:00,Inter,Sampdoria,3,0,64.66,0.422,0.3211,-0.1651,1.622,1502.14,1496.12
18693,2022-10-30 11:30:00,Empoli,Atalanta,0,2,56.33,0.4065,0.3297,-0.1427,1.294,1497.95,1503.09
18692,2022-10-30 14:00:00,Cremonese,Udinese,0,0,54.49,0.4031,0.3316,-0.1378,1.208,1496.38,1502.05
18700,2022-10-30 14:00:00,Spezia,Fiorentina,1,2,59.04,0.4115,0.3269,-0.1499,0.815,1496.95,1498.85
18696,2022-10-30 17:00:00,Lazio,Salernitana,1,3,64.91,0.4225,0.3209,-0.1658,1.289,1503.58,1500.17
18701,2022-10-30 19:45:00,Torino,AC Milan,2,1,55.59,0.4051,0.3305,-0.1407,0.817,1499.59,1503.3
18694,2022-10-31 17:30:00,Verona,Roma,1,3,55.42,0.4048,0.3307,-0.1402,1.298,1496.05,1502.11
