id,isResult,h,a,goals,xG,datetime,forecast
23107,True,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'h': '2', 'a': '1'}","{'h': '1.59965', 'a': '1.98951'}",2023-09-23 16:30:00,"{'w': '0.2737', 'd': '0.257', 'l': '0.4693'}"
23108,True,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '4', 'a': '1'}","{'h': '3.97445', 'a': '0.659741'}",2023-09-24 13:30:00,"{'w': '0.9678', 'd': '0.0278', 'l': '0.0044'}"
23109,True,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '0', 'a': '0'}","{'h': '0.754063', 'a': '0.407479'}",2023-09-24 15:30:00,"{'w': '0.402', 'd': '0.4111', 'l': '0.1869'}"
23110,True,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'h': '1', 'a': '3'}","{'h': '1.85129', 'a': '1.69401'}",2023-09-29 18:30:00,"{'w': '0.4007', 'd': '0.2739', 'l': '0.3254'}"
23111,True,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '3'}","{'h': '1.46515', 'a': '2.86793'}",2023-09-30 13:30:00,"{'w': '0.1167', 'd': '0.1771', 'l': '0.7062'}"
23112,True,"{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'h': '1', 'a': '0'}","{'h': '0.542933', 'a': '2.1613'}",2023-09-30 13:30:00,"{'w': '0.0501', 'd': '0.1463', 'l': '0.8036'}"
23113,True,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '0'}","{'h': '2.77737', 'a': '1.09205'}",2023-09-30 13:30:00,"{'w': '0.7973', 'd': '0.1488', 'l': '0.0539'}"
23114,True,"{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '0', 'a': '3'}","{'h': '0.388975', 'a': '0.811962'}",2023-09-30 13:30:00,"{'w': '0.1487', 'd': '0.3935', 'l': '0.4578'}"
23115,True,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '0', 'a': '2'}","{'h': '0.803426', 'a': '2.06666'}",2023-09-30 13:30:00,"{'w': '0.0995', 'd': '0.19', 'l': '0.7105'}"
23116,True,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '2'}","{'h': '0.793383', 'a': '1.95099'}",2023-09-30 16:30:00,"{'w': '0.0839', 'd': '0.2118', 'l': '0.7043'}"
